state, expenditure
"United States","$2996"
"Alabama","$2854"
"Alaska","$2770"
"Arizona","$2621"
"Arkansas","$2604"
"California","$2940"
"Colorado","$2713"
"Connecticut","$3651"
"Delaware","$3234"
"District of Columbia","$5443"
"Florida","$3312"
"Georgia","$2826"
"Hawaii","$2932"
"Idaho","$2352"
"Illinois","$3062"
"Indiana","$2919"
"Iowa","$2867"
"Kansas","$2873"
"Kentucky","$2697"
"Louisiana","$3051"
"Maine","$2871"
"Maryland","$3123"
"Massachusetts","$3772"
"Michigan","$2937"
"Minnesota","$2954"
"Mississippi","$2475"
"Missouri","$2881"
"Montana","$2589"
"Nebraska","$2677"
"Nevada","$2619"
"New Hampshire","$2772"
"New Jersey","$3346"
"New Mexico","$2487"
"New York","$3648"
"North Carolina","$2621"
"North Dakota","$3027"
"Ohio","$3054"
"Oklahoma","$2632"
"Oregon","$2601"
"Pennsylvania","$3415"
"Rhode Island","$3345"
"South Carolina","$2603"
"South Dakota","$2664"
"Tennessee","$2952"
"Texas","$2653"
"Utah","$2182"
"Vermont","$2634"
"Virginia","$2555"
"Washington","$2751"
"West Virginia","$3054"
"Wisconsin","$2878"
"Wyoming","$2475"
