Rank,Geographical Area,Dollar,Margin of Error
,United States,"53,657",+/-93
1,Maryland,"73,971",+/-867
2,New Jersey,"71,919",+/-438
3,District of Columbia,"71,648","+/-1,996"
4,Alaska,"71,583","+/-1,784"
5,Connecticut,"70,048",+/-828
6,Hawaii,"69,592","+/-1,456"
7,Massachusetts,"69,160",+/-957
8,New Hampshire,"66,532","+/-1,297"
9,Virginia,"64,902",+/-624
10,California,"61,933",+/-238
11,Minnesota,"61,481",+/-471
12,Washington,"61,366",+/-485
13,Colorado,"61,303",+/-487
14,Utah,"60,922",+/-658
15,Delaware,"59,716","+/-1,674"
16,North Dakota,"59,029","+/-1,681"
17,New York,"58,878",+/-393
18,Illinois,"57,444",+/-429
19,Wyoming,"57,055","+/-1,983"
20,Rhode Island,"54,891","+/-1,488"
21,Vermont,"54,166","+/-1,724"
22,Iowa,"53,712",+/-761
23,Pennsylvania,"53,234",+/-420
24,Texas,"53,035",+/-377
25,Nebraska,"52,686",+/-688
26,Wisconsin,"52,622",+/-433
27,Kansas,"52,504",+/-706
28,Nevada,"51,450",+/-683
29,Oregon,"51,075",+/-490
30,South Dakota,"50,979","+/-1,027"
31,Arizona,"50,068",+/-483
32,Michigan,"49,847",+/-385
33,Maine,"49,462","+/-1,112"
34,Indiana,"49,446",+/-487
35,Georgia,"49,321",+/-543
36,Ohio,"49,308",+/-363
37,Missouri,"48,363",+/-567
38,Idaho,"47,861","+/-1,275"
39,Oklahoma,"47,529",+/-454
40,Florida,"47,463",+/-329
41,North Carolina,"46,556",+/-381
42,Montana,"46,328","+/-1,217"
43,South Carolina,"45,238",+/-507
44,New Mexico,"44,803",+/-849
45,Louisiana,"44,555",+/-738
46,Tennessee,"44,361",+/-561
47,Kentucky,"42,958",+/-697
48,Alabama,"42,830",+/-598
49,Arkansas,"41,262",+/-653
50,West Virginia,"41,059",+/-651
51,Mississippi,"39,680",+/-773
